300000.0Hz wait=60periods tc=5[x,theta, y,fint,sin+,sin-,v+,v-]
-1.478174e-04,1.303697e+02,1.819665e-04,3.000000e+05,0,1,3,2
6.163437e-05,7.057308e+01,7.101670e-05,3.000000e+05,7,8,10,9
