300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-5.436158e-07,1.032233e+02,4.602634e-04,3.000000e+05,0,3,1,2
-8.474099e-07,1.152097e+02,4.634376e-04,3.000000e+05,1,4,2,3
-9.857256e-07,1.157483e+02,4.584540e-04,3.000000e+05,2,5,3,4
3.674024e-07,8.023260e+01,4.526861e-04,3.000000e+05,3,6,4,5
-8.414162e-07,1.136701e+02,4.416265e-04,3.000000e+05,4,7,5,6
-6.402864e-07,1.046087e+02,4.344163e-04,3.000000e+05,5,8,6,7
-9.224160e-07,1.132520e+02,4.220282e-04,3.000000e+05,6,9,7,8
3.911419e-07,7.912923e+01,4.109520e-04,3.000000e+05,7,10,8,9
-5.965949e-07,1.030827e+02,3.929443e-04,3.000000e+05,8,11,9,10
-5.913068e-07,1.065871e+02,3.779001e-04,3.000000e+05,9,12,10,11
-9.071600e-07,1.188675e+02,3.685334e-04,3.000000e+05,10,13,11,12
-4.501585e-06,-1.418844e+02,3.664004e-04,3.000000e+05,11,14,12,13
-1.346237e-06,1.350724e+02,3.826282e-04,3.000000e+05,12,15,13,14
-1.104392e-06,1.254699e+02,3.935877e-04,3.000000e+05,13,16,14,15
-9.379330e-07,1.258549e+02,4.064877e-04,3.000000e+05,14,17,15,16
-1.111355e-03,1.388788e+02,4.050476e-04,3.000000e+05,15,18,16,17
-1.620402e-06,1.372674e+02,3.998316e-04,3.000000e+05,16,19,17,18
-1.764552e-06,1.359596e+02,3.923959e-04,3.000000e+05,17,20,18,19
-1.379398e-06,1.375814e+02,3.919904e-04,3.000000e+05,18,21,19,20
-1.739538e-06,1.407538e+02,3.783216e-04,3.000000e+05,19,22,20,21
-1.802758e-06,1.401649e+02,3.751157e-04,3.000000e+05,20,23,21,22
-7.317803e-07,1.080531e+02,3.697334e-04,3.000000e+05,21,24,22,23
-6.113500e-07,1.042303e+02,3.692723e-04,3.000000e+05,22,25,23,24
-1.792601e-06,1.368112e+02,3.626229e-04,3.000000e+05,23,26,24,25
-1.372309e-06,1.288066e+02,3.498440e-04,3.000000e+05,24,27,25,26
-2.002669e-06,1.421315e+02,3.291597e-04,3.000000e+05,25,28,26,27
-1.658253e-06,1.406573e+02,3.194314e-04,3.000000e+05,26,29,27,28
-2.010550e-06,1.512389e+02,3.158997e-04,3.000000e+05,27,30,28,29
-3.907548e-06,-1.681208e+02,3.176780e-04,3.000000e+05,28,31,29,30
-1.777344e-06,1.353005e+02,3.229434e-04,3.000000e+05,29,0,30,31
-1.862148e-06,1.340656e+02,3.299780e-04,3.000000e+05,30,1,31,0
-1.151735e-06,1.213267e+02,3.275404e-04,3.000000e+05,31,2,0,1
