10000.0Hz wait=60periods tc=7[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.924151e-04,1.720059e+02,3.688823e-04,1.000000e+04,0,3,1,2
-1.220293e-03,1.768844e+02,3.776388e-04,1.000000e+04,1,4,2,3
-1.408230e-03,1.734808e+02,3.803548e-04,1.000000e+04,2,5,3,4
-5.999886e-04,1.768806e+02,4.129765e-04,1.000000e+04,3,6,4,5
-8.821225e-04,1.729473e+02,3.919459e-04,1.000000e+04,4,7,5,6
-2.015807e-03,1.715622e+02,4.278632e-04,1.000000e+04,5,8,6,7
-3.325483e-04,1.498115e+02,4.600120e-04,1.000000e+04,6,9,7,8
-2.196330e-03,1.766789e+02,5.066145e-04,1.000000e+04,7,10,8,9
-2.992371e-04,1.654243e+02,5.484171e-04,1.000000e+04,8,11,9,10
-1.005079e-03,1.755639e+02,5.724467e-04,1.000000e+04,9,12,10,11
-2.431972e-04,1.717803e+02,5.704383e-04,1.000000e+04,10,13,11,12
-9.486984e-04,1.696448e+02,5.800143e-04,1.000000e+04,11,14,12,13
-1.147740e-04,-1.714454e+02,5.843898e-04,1.000000e+04,12,15,13,14
-1.643623e-04,1.680213e+02,5.829704e-04,1.000000e+04,13,16,14,15
-1.071382e-03,1.770919e+02,5.945828e-04,1.000000e+04,14,17,15,16
-1.486935e-04,1.709525e+02,6.009467e-04,1.000000e+04,15,18,16,17
-5.275975e-04,1.775680e+02,6.054911e-04,1.000000e+04,16,19,17,18
-2.755461e-04,1.704806e+02,6.008707e-04,1.000000e+04,17,20,18,19
-1.544859e-04,1.609552e+02,5.885219e-04,1.000000e+04,18,21,19,20
-2.010438e-04,1.584869e+02,5.951328e-04,1.000000e+04,19,22,20,21
-1.136777e-03,-1.793722e+02,5.775154e-04,1.000000e+04,20,23,21,22
-1.671432e-04,1.664127e+02,5.475979e-04,1.000000e+04,21,24,22,23
-7.428031e-04,1.764156e+02,5.111195e-04,1.000000e+04,22,25,23,24
-3.865352e-04,1.615898e+02,4.643471e-04,1.000000e+04,23,26,24,25
-9.919424e-04,1.730092e+02,4.014737e-04,1.000000e+04,24,27,25,26
-2.363424e-04,1.541734e+02,3.464274e-04,1.000000e+04,25,28,26,27
-8.981604e-05,1.560041e+02,3.117374e-04,1.000000e+04,26,29,27,28
-9.012942e-04,1.764693e+02,2.843793e-04,1.000000e+04,27,30,28,29
-8.384783e-04,1.779235e+02,2.753641e-04,1.000000e+04,28,31,29,30
-1.932142e-04,1.722921e+02,2.723452e-04,1.000000e+04,29,0,30,31
-8.752221e-04,1.780379e+02,2.762862e-04,1.000000e+04,30,1,31,0
-1.173231e-03,1.777425e+02,2.739921e-04,1.000000e+04,31,2,0,1
