300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-5.166446e-07,1.114878e+02,4.800214e-04,3.000000e+05,0,3,1,2
-1.111816e-06,1.174068e+02,4.726546e-04,3.000000e+05,1,4,2,3
-8.511190e-07,1.130101e+02,4.607183e-04,3.000000e+05,2,5,3,4
5.743109e-08,8.854217e+01,4.504098e-04,3.000000e+05,3,6,4,5
-7.090516e-07,1.066123e+02,4.413660e-04,3.000000e+05,4,7,5,6
-4.022953e-07,1.001829e+02,4.326116e-04,3.000000e+05,5,8,6,7
-1.092848e-06,1.158914e+02,4.257249e-04,3.000000e+05,6,9,7,8
-6.447607e-07,1.043704e+02,4.136428e-04,3.000000e+05,7,10,8,9
-8.910357e-07,1.142397e+02,4.105681e-04,3.000000e+05,8,11,9,10
-7.848337e-07,1.115452e+02,3.780189e-04,3.000000e+05,9,12,10,11
-1.113823e-06,1.221203e+02,3.677148e-04,3.000000e+05,10,13,11,12
-8.832967e-07,1.198698e+02,3.711200e-04,3.000000e+05,11,14,12,13
-1.093753e-06,1.238684e+02,3.839995e-04,3.000000e+05,12,15,13,14
-1.361060e-06,1.275805e+02,3.954854e-04,3.000000e+05,13,16,14,15
1.019621e-07,8.763480e+01,4.019464e-04,3.000000e+05,14,17,15,16
-1.390448e-06,1.357545e+02,4.015489e-04,3.000000e+05,15,18,16,17
-1.498559e-06,1.378870e+02,3.953017e-04,3.000000e+05,16,19,17,18
-1.077135e-06,1.185471e+02,3.909671e-04,3.000000e+05,17,20,18,19
-5.342959e-06,1.558335e+02,3.837683e-04,3.000000e+05,18,21,19,20
-1.906705e-06,1.448878e+02,3.801417e-04,3.000000e+05,19,22,20,21
-1.447288e-06,1.355992e+02,3.774207e-04,3.000000e+05,20,23,21,22
-2.224977e-06,1.473857e+02,3.760508e-04,3.000000e+05,21,24,22,23
-1.953497e-06,1.419370e+02,3.712368e-04,3.000000e+05,22,25,23,24
-1.909035e-06,1.430668e+02,3.629049e-04,3.000000e+05,23,26,24,25
-1.403163e-06,1.344343e+02,3.456426e-04,3.000000e+05,24,27,25,26
-6.970962e-07,1.040903e+02,3.249682e-04,3.000000e+05,25,28,26,27
-1.613098e-06,1.397407e+02,3.201335e-04,3.000000e+05,26,29,27,28
1.135872e-06,7.279386e+01,3.189002e-04,3.000000e+05,27,30,28,29
-1.850975e-06,1.450607e+02,3.186066e-04,3.000000e+05,28,31,29,30
-2.045384e-06,1.376174e+02,3.242872e-04,3.000000e+05,29,0,30,31
-1.991995e-06,1.374229e+02,3.291226e-04,3.000000e+05,30,1,31,0
-1.743367e-06,1.298221e+02,3.276354e-04,3.000000e+05,31,2,0,1
