100000.0Hz wait=60periods tc=5[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-3.837925e-06,1.481025e+02,4.450973e-04,1.000000e+05,0,3,1,2
-3.441107e-06,1.341378e+02,4.520641e-04,1.000000e+05,1,4,2,3
-3.449658e-06,1.382350e+02,4.622424e-04,1.000000e+05,2,5,3,4
3.537622e-07,8.624062e+01,5.038071e-04,1.000000e+05,3,6,4,5
-3.631234e-06,1.396548e+02,5.199213e-04,1.000000e+05,4,7,5,6
3.134502e-07,8.748437e+01,5.579055e-04,1.000000e+05,5,8,6,7
-2.263308e-06,1.090003e+02,5.917839e-04,1.000000e+05,6,9,7,8
-3.692471e-06,1.371455e+02,6.219354e-04,1.000000e+05,7,10,8,9
-3.184063e-06,1.266209e+02,6.422637e-04,1.000000e+05,8,11,9,10
-1.777846e-06,1.162791e+02,6.647563e-04,1.000000e+05,9,12,10,11
-2.652893e-06,1.489651e+02,6.838589e-04,1.000000e+05,10,13,11,12
7.026405e-07,8.459141e+01,7.006929e-04,1.000000e+05,11,14,12,13
-2.556844e-06,1.569922e+02,7.254159e-04,1.000000e+05,12,15,13,14
-1.857321e-06,1.318920e+02,7.385536e-04,1.000000e+05,13,16,14,15
-2.721292e-06,1.350647e+02,7.406738e-04,1.000000e+05,14,17,15,16
-2.894512e-06,1.563984e+02,7.355099e-04,1.000000e+05,15,18,16,17
-6.478885e-04,1.618006e+02,7.272009e-04,1.000000e+05,16,19,17,18
-8.294573e-07,9.653037e+01,7.043775e-04,1.000000e+05,17,20,18,19
-1.092070e-06,9.719553e+01,6.824615e-04,1.000000e+05,18,21,19,20
-2.932626e-06,1.354909e+02,6.625999e-04,1.000000e+05,19,22,20,21
-2.976455e-06,1.578346e+02,6.376306e-04,1.000000e+05,20,23,21,22
-3.126996e-06,1.618413e+02,6.151587e-04,1.000000e+05,21,24,22,23
-1.161802e-06,1.035016e+02,5.850529e-04,1.000000e+05,22,25,23,24
-8.578069e-07,9.666882e+01,5.628247e-04,1.000000e+05,23,26,24,25
-3.154691e-06,1.581426e+02,5.195244e-04,1.000000e+05,24,27,25,26
-3.182199e-06,1.571565e+02,5.184180e-04,1.000000e+05,25,28,26,27
-2.297927e-06,1.122654e+02,4.970771e-04,1.000000e+05,26,29,27,28
-3.170543e-06,1.549556e+02,4.938439e-04,1.000000e+05,27,30,28,29
-3.291809e-06,1.559149e+02,5.057040e-04,1.000000e+05,28,31,29,30
-6.198736e-07,9.480470e+01,5.106148e-04,1.000000e+05,29,0,30,31
-2.506187e-06,1.299889e+02,5.174025e-04,1.000000e+05,30,1,31,0
-1.586905e-06,1.038039e+02,5.198049e-04,1.000000e+05,31,2,0,1
