100000.0Hz wait=60periodstc=5[x,theta, xnoise,fint,sin+,sin-,v+,v-]
1.789160e-07,8.864556e+01,5.411584e-05,1.000000e+05,0,3,1,2
-3.603968e-06,1.367685e+02,1.625428e-04,1.000000e+05,1,4,2,3
-2.514330e-06,1.195183e+02,2.390489e-04,1.000000e+05,2,5,3,4
2.625229e-07,8.791340e+01,3.498337e-04,1.000000e+05,3,6,4,5
4.914572e-06,5.715114e+01,4.014657e-04,1.000000e+05,4,7,5,6
-3.602476e-06,1.393701e+02,4.880971e-04,1.000000e+05,5,8,6,7
-2.838426e-06,1.184178e+02,5.638393e-04,1.000000e+05,6,9,7,8
2.394951e-06,7.490749e+01,6.006123e-04,1.000000e+05,7,10,8,9
-3.528926e-06,1.342894e+02,6.397073e-04,1.000000e+05,8,11,9,10
-1.151024e-06,1.149159e+02,6.650666e-04,1.000000e+05,9,12,10,11
-2.794094e-06,1.456395e+02,6.888000e-04,1.000000e+05,10,13,11,12
1.536163e-07,8.774987e+01,7.173744e-04,1.000000e+05,11,14,12,13
-2.604918e-06,1.540020e+02,7.273651e-04,1.000000e+05,12,15,13,14
-2.521095e-06,1.553947e+02,7.437241e-04,1.000000e+05,13,16,14,15
-2.560845e-06,1.452333e+02,7.467186e-04,1.000000e+05,14,17,15,16
-1.481919e-05,1.615526e+02,7.310428e-04,1.000000e+05,15,18,16,17
-2.844859e-06,1.461033e+02,7.254079e-04,1.000000e+05,16,19,17,18
-3.286672e-06,1.571404e+02,7.149723e-04,1.000000e+05,17,20,18,19
-1.319637e-06,1.013530e+02,6.981731e-04,1.000000e+05,18,21,19,20
2.581347e-06,7.395628e+01,6.713209e-04,1.000000e+05,19,22,20,21
-2.705695e-06,1.592000e+02,6.723119e-04,1.000000e+05,20,23,21,22
-3.139191e-06,1.601169e+02,6.499757e-04,1.000000e+05,21,24,22,23
-3.462767e-06,1.499916e+02,6.246695e-04,1.000000e+05,22,25,23,24
-3.414779e-06,1.379002e+02,5.750538e-04,1.000000e+05,23,26,24,25
-2.375207e-06,1.118040e+02,5.477869e-04,1.000000e+05,24,27,25,26
-8.008489e-07,9.617445e+01,5.224969e-04,1.000000e+05,25,28,26,27
-2.968353e-06,1.610747e+02,5.174503e-04,1.000000e+05,26,29,27,28
-3.076372e-06,1.549303e+02,5.131165e-04,1.000000e+05,27,30,28,29
-3.106212e-06,1.517168e+02,5.140125e-04,1.000000e+05,28,31,29,30
-2.785427e-06,1.073326e+02,5.138083e-04,1.000000e+05,29,0,30,31
1.140819e-06,8.120068e+01,5.179334e-04,1.000000e+05,30,1,31,0
-2.366954e-06,1.290491e+02,5.180704e-04,1.000000e+05,31,2,0,1
