100000.0Hz wait=60periodstc=5[x,theta, xnoise,fint,tc,sin+,sin-,v+,v-]
-3.674911e-06,1.441495e+02,8.355678e-05,1.000000e+05,0,3,1,2
-3.706580e-06,1.394914e+02,1.652758e-04,1.000000e+05,1,4,2,3
-5.006258e-06,1.216900e+02,2.319669e-04,1.000000e+05,2,5,3,4
-1.747696e-06,1.047203e+02,3.448249e-04,1.000000e+05,3,6,4,5
-3.131179e-06,1.153617e+02,3.960925e-04,1.000000e+05,4,7,5,6
1.186131e-06,7.941544e+01,4.791890e-04,1.000000e+05,5,8,6,7
-3.322803e-06,1.098692e+02,5.378987e-04,1.000000e+05,6,9,7,8
-3.442239e-06,1.335005e+02,5.871130e-04,1.000000e+05,7,10,8,9
-3.596604e-06,1.213780e+02,6.261899e-04,1.000000e+05,8,11,9,10
-2.582205e-06,1.020807e+02,6.638353e-04,1.000000e+05,9,12,10,11
-1.300311e-06,1.026038e+02,6.855434e-04,1.000000e+05,10,13,11,12
-2.659061e-06,1.531766e+02,7.197480e-04,1.000000e+05,11,14,12,13
-2.347517e-06,1.108983e+02,7.256970e-04,1.000000e+05,12,15,13,14
-2.617212e-06,1.561799e+02,7.389178e-04,1.000000e+05,13,16,14,15
-1.468732e-06,1.027979e+02,7.535648e-04,1.000000e+05,14,17,15,16
-2.963599e-06,1.563098e+02,7.532059e-04,1.000000e+05,15,18,16,17
-7.401222e-07,9.669252e+01,7.450124e-04,1.000000e+05,16,19,17,18
-2.204766e-06,1.300349e+02,7.351004e-04,1.000000e+05,17,20,18,19
-1.488469e-06,1.002636e+02,7.227633e-04,1.000000e+05,18,21,19,20
-6.541965e-07,9.493700e+01,6.965993e-04,1.000000e+05,19,22,20,21
-3.017897e-06,1.611088e+02,6.754596e-04,1.000000e+05,20,23,21,22
-2.993410e-06,1.577109e+02,6.530665e-04,1.000000e+05,21,24,22,23
-3.337124e-06,1.574555e+02,6.275479e-04,1.000000e+05,22,25,23,24
-1.459544e-06,1.150780e+02,5.987107e-04,1.000000e+05,23,26,24,25
-2.988451e-06,1.358863e+02,5.691442e-04,1.000000e+05,24,27,25,26
-2.569569e-06,1.431248e+02,5.348903e-04,1.000000e+05,25,28,26,27
2.173512e-06,7.213926e+01,5.297852e-04,1.000000e+05,26,29,27,28
-2.880480e-06,1.539846e+02,5.157473e-04,1.000000e+05,27,30,28,29
-3.363051e-06,1.562617e+02,5.168329e-04,1.000000e+05,28,31,29,30
1.803434e-07,8.835194e+01,5.177167e-04,1.000000e+05,29,0,30,31
-3.599942e-06,1.579782e+02,5.230121e-04,1.000000e+05,30,1,31,0
-1.560935e-06,1.055172e+02,5.199556e-04,1.000000e+05,31,2,0,1
