1000.0Hz wait=60periods tc=9[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-7.784300e-04,1.771706e+02,4.371747e-04,1.000000e+03,0,3,1,2
-6.765084e-04,1.720575e+02,4.192920e-04,1.000000e+03,1,4,2,3
-1.358338e-03,-1.781819e+02,3.961319e-04,1.000000e+03,2,5,3,4
-1.448503e-03,1.761535e+02,3.857235e-04,1.000000e+03,3,6,4,5
-1.621879e-03,-1.778239e+02,3.825260e-04,1.000000e+03,4,7,5,6
-1.429858e-03,1.745919e+02,3.871731e-04,1.000000e+03,5,8,6,7
-1.632526e-03,1.704987e+02,3.933025e-04,1.000000e+03,6,9,7,8
-1.603760e-03,1.770994e+02,4.003881e-04,1.000000e+03,7,10,8,9
-1.846590e-03,-1.778910e+02,4.080589e-04,1.000000e+03,8,11,9,10
-1.344723e-03,1.788835e+02,4.167607e-04,1.000000e+03,9,12,10,11
-1.594773e-03,1.783272e+02,4.167111e-04,1.000000e+03,10,13,11,12
-1.096345e-03,1.563811e+02,4.214093e-04,1.000000e+03,11,14,12,13
-8.622608e-04,1.679604e+02,4.204456e-04,1.000000e+03,12,15,13,14
-7.648683e-04,1.678120e+02,4.192037e-04,1.000000e+03,13,16,14,15
-6.070524e-04,1.725454e+02,4.191461e-04,1.000000e+03,14,17,15,16
-9.211571e-04,1.742000e+02,4.203352e-04,1.000000e+03,15,18,16,17
-6.283969e-04,1.791436e+02,4.188304e-04,1.000000e+03,16,19,17,18
-5.432260e-04,1.722016e+02,4.204307e-04,1.000000e+03,17,20,18,19
-5.537685e-04,1.628186e+02,4.220039e-04,1.000000e+03,18,21,19,20
-5.585133e-04,-1.724536e+02,4.258331e-04,1.000000e+03,19,22,20,21
-8.401009e-04,1.725760e+02,4.288269e-04,1.000000e+03,20,23,21,22
-7.958172e-04,1.684459e+02,4.259094e-04,1.000000e+03,21,24,22,23
-5.895584e-04,1.632102e+02,4.125988e-04,1.000000e+03,22,25,23,24
-6.843707e-04,-1.656537e+02,4.002406e-04,1.000000e+03,23,26,24,25
-6.292323e-04,1.725750e+02,3.908815e-04,1.000000e+03,24,27,25,26
-5.799482e-04,1.690324e+02,3.866247e-04,1.000000e+03,25,28,26,27
-6.381333e-04,1.765292e+02,3.841109e-04,1.000000e+03,26,29,27,28
-7.379655e-04,1.673524e+02,3.859930e-04,1.000000e+03,27,30,28,29
-8.035648e-04,-1.741294e+02,3.852973e-04,1.000000e+03,28,31,29,30
-8.610101e-04,1.757881e+02,3.854250e-04,1.000000e+03,29,0,30,31
-7.751937e-04,1.753990e+02,3.845739e-04,1.000000e+03,30,1,31,0
-7.317945e-04,-1.743449e+02,3.841663e-04,1.000000e+03,31,2,0,1
