300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-6.324027e-07,1.048907e+02,4.823683e-04,3.000000e+05,0,3,1,2
-1.191324e-06,1.232336e+02,4.702701e-04,3.000000e+05,1,4,2,3
-7.742922e-07,1.114292e+02,4.624135e-04,3.000000e+05,2,5,3,4
-8.485716e-07,1.103254e+02,4.548834e-04,3.000000e+05,3,6,4,5
-6.759292e-07,1.068338e+02,4.378735e-04,3.000000e+05,4,7,5,6
2.926723e-07,8.226263e+01,4.321631e-04,3.000000e+05,5,8,6,7
-9.210155e-07,1.122196e+02,4.236456e-04,3.000000e+05,6,9,7,8
4.780364e-07,7.724204e+01,4.078239e-04,3.000000e+05,7,10,8,9
-5.601102e-07,1.040258e+02,3.936040e-04,3.000000e+05,8,11,9,10
-3.936893e-06,1.196799e+02,3.783194e-04,3.000000e+05,9,12,10,11
-1.089079e-06,1.216931e+02,3.634170e-04,3.000000e+05,10,13,11,12
-1.052549e-06,1.249017e+02,3.674229e-04,3.000000e+05,11,14,12,13
4.522822e-07,7.921482e+01,3.768164e-04,3.000000e+05,12,15,13,14
-1.166859e-06,1.299338e+02,3.970464e-04,3.000000e+05,13,16,14,15
-8.856095e-07,1.257562e+02,4.020648e-04,3.000000e+05,14,17,15,16
-1.333298e-06,1.316684e+02,3.993316e-04,3.000000e+05,15,18,16,17
-1.360738e-06,1.277206e+02,3.899866e-04,3.000000e+05,16,19,17,18
-4.257716e-07,9.986224e+01,3.878564e-04,3.000000e+05,17,20,18,19
-2.839866e-07,9.739436e+01,3.853605e-04,3.000000e+05,18,21,19,20
-1.954407e-06,1.478440e+02,3.787947e-04,3.000000e+05,19,22,20,21
-1.855488e-06,1.462644e+02,3.758491e-04,3.000000e+05,20,23,21,22
-1.796848e-06,1.349606e+02,3.720516e-04,3.000000e+05,21,24,22,23
-6.524610e-07,1.073344e+02,3.666075e-04,3.000000e+05,22,25,23,24
-1.936538e-06,1.410543e+02,3.632200e-04,3.000000e+05,23,26,24,25
-1.407298e-06,1.292114e+02,3.487086e-04,3.000000e+05,24,27,25,26
-1.665809e-06,1.414648e+02,3.276826e-04,3.000000e+05,25,28,26,27
-8.502296e-07,1.110884e+02,3.319175e-04,3.000000e+05,26,29,27,28
-1.921218e-06,1.479413e+02,3.242314e-04,3.000000e+05,27,30,28,29
-5.264704e-04,1.565005e+02,3.301195e-04,3.000000e+05,28,31,29,30
-8.231398e-07,1.085496e+02,3.289445e-04,3.000000e+05,29,0,30,31
-4.007373e-07,1.023130e+02,3.333386e-04,3.000000e+05,30,1,31,0
1.149955e-06,6.077725e+01,3.357049e-04,3.000000e+05,31,2,0,1
