100.0Hz wait=60periods tc=11[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-7.893835e-04,-1.774081e+02,4.509558e-04,1.000000e+02,0,3,1,2
-7.748929e-04,-1.700234e+02,4.509558e-04,1.000000e+02,1,4,2,3
-1.290364e-03,-1.764048e+02,4.482619e-04,1.000000e+02,2,5,3,4
-1.400223e-03,-1.794587e+02,4.480094e-04,1.000000e+02,3,6,4,5
-1.634727e-03,-1.793833e+02,4.480094e-04,1.000000e+02,4,7,5,6
-1.836515e-03,1.756929e+02,4.516214e-04,1.000000e+02,5,8,6,7
-1.948720e-03,1.796704e+02,4.653132e-04,1.000000e+02,6,9,7,8
-1.799586e-03,-1.790381e+02,4.653132e-04,1.000000e+02,7,10,8,9
-1.770098e-03,-1.798720e+02,4.774931e-04,1.000000e+02,8,11,9,10
-1.483820e-03,1.797651e+02,4.841451e-04,1.000000e+02,9,12,10,11
-1.619715e-03,1.795384e+02,4.841451e-04,1.000000e+02,10,13,11,12
-1.197013e-03,1.783790e+02,4.855140e-04,1.000000e+02,11,14,12,13
-8.976190e-04,-1.744689e+02,4.849907e-04,1.000000e+02,12,15,13,14
-8.115723e-04,-1.786057e+02,4.849907e-04,1.000000e+02,13,16,14,15
-6.382357e-04,-1.747068e+02,4.807181e-04,1.000000e+02,14,17,15,16
-7.447338e-04,-1.799132e+02,4.778639e-04,1.000000e+02,15,18,16,17
-7.807901e-04,1.783362e+02,4.778639e-04,1.000000e+02,16,19,17,18
-6.789705e-04,-1.784550e+02,4.739955e-04,1.000000e+02,17,20,18,19
-7.096499e-04,-1.785205e+02,4.704822e-04,1.000000e+02,18,21,19,20
-7.110624e-04,1.797118e+02,4.667685e-04,1.000000e+02,19,22,20,21
-7.257927e-04,-1.785840e+02,4.667685e-04,1.000000e+02,20,23,21,22
-7.693499e-04,-1.776382e+02,4.630378e-04,1.000000e+02,21,24,22,23
-7.419849e-04,-1.756625e+02,4.588900e-04,1.000000e+02,22,25,23,24
-7.875346e-04,-1.707023e+02,4.588900e-04,1.000000e+02,23,26,24,25
-7.596151e-04,-1.773345e+02,4.544620e-04,1.000000e+02,24,27,25,26
-6.816750e-04,-1.782526e+02,4.503198e-04,1.000000e+02,25,28,26,27
-7.772237e-04,1.788970e+02,4.503198e-04,1.000000e+02,26,29,27,28
-6.691073e-04,1.777321e+02,4.459154e-04,1.000000e+02,27,30,28,29
-7.078307e-04,1.782889e+02,4.422703e-04,1.000000e+02,28,31,29,30
-7.530279e-04,-1.793556e+02,4.422703e-04,1.000000e+02,29,0,30,31
-7.680526e-04,-1.784331e+02,4.378154e-04,1.000000e+02,30,1,31,0
-7.669923e-04,-1.633389e+02,4.364609e-04,1.000000e+02,31,2,0,1
