300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.437772e-06,1.276674e+02,4.831102e-04,3.000000e+05,0,3,1,2
-2.789540e-04,1.593828e+02,4.690197e-04,3.000000e+05,1,4,2,3
-3.600699e-06,1.479779e+02,4.564813e-04,3.000000e+05,2,5,3,4
-7.419982e-07,1.074926e+02,4.398199e-04,3.000000e+05,3,6,4,5
-5.818201e-07,1.057991e+02,4.222516e-04,3.000000e+05,4,7,5,6
1.045580e-07,8.709740e+01,4.309801e-04,3.000000e+05,5,8,6,7
-3.740247e-07,9.783893e+01,4.182529e-04,3.000000e+05,6,9,7,8
-1.064743e-06,1.141209e+02,4.084972e-04,3.000000e+05,7,10,8,9
-5.515249e-07,1.033059e+02,3.910751e-04,3.000000e+05,8,11,9,10
-8.964764e-07,1.158715e+02,3.750950e-04,3.000000e+05,9,12,10,11
1.196380e-06,6.984286e+01,3.608261e-04,3.000000e+05,10,13,11,12
-1.218001e-06,1.349666e+02,3.637971e-04,3.000000e+05,11,14,12,13
1.574554e-07,8.591543e+01,3.803216e-04,3.000000e+05,12,15,13,14
-1.236723e-06,1.310876e+02,3.998982e-04,3.000000e+05,13,16,14,15
-1.122757e-06,1.291280e+02,4.011521e-04,3.000000e+05,14,17,15,16
-9.366377e-07,1.193205e+02,3.961852e-04,3.000000e+05,15,18,16,17
-1.348028e-06,1.334686e+02,3.941613e-04,3.000000e+05,16,19,17,18
-1.711359e-06,1.386370e+02,3.893524e-04,3.000000e+05,17,20,18,19
-6.001042e-06,-1.136096e+02,3.851201e-04,3.000000e+05,18,21,19,20
-1.847822e-06,1.464177e+02,3.755807e-04,3.000000e+05,19,22,20,21
-1.760520e-06,1.411157e+02,3.725521e-04,3.000000e+05,20,23,21,22
-7.497160e-07,1.137627e+02,3.691724e-04,3.000000e+05,21,24,22,23
-1.917450e-06,1.418487e+02,3.676577e-04,3.000000e+05,22,25,23,24
-1.640559e-06,1.414734e+02,3.623509e-04,3.000000e+05,23,26,24,25
-1.454760e-06,1.349418e+02,3.477898e-04,3.000000e+05,24,27,25,26
-5.597243e-07,1.035195e+02,3.267727e-04,3.000000e+05,25,28,26,27
-1.881706e-06,1.469884e+02,3.195250e-04,3.000000e+05,26,29,27,28
-1.519257e-06,1.301524e+02,3.176479e-04,3.000000e+05,27,30,28,29
-1.739166e-06,1.427135e+02,3.208544e-04,3.000000e+05,28,31,29,30
-5.685085e-07,1.027425e+02,3.272359e-04,3.000000e+05,29,0,30,31
-1.729765e-06,1.343089e+02,3.303649e-04,3.000000e+05,30,1,31,0
-2.065157e-06,1.393004e+02,3.341149e-04,3.000000e+05,31,2,0,1
