10.0Hz wait=60periods tc=13[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-8.623161e-04,-1.795301e+02,3.821427e-04,1.000000e+01,0,3,1,2
-6.960485e-04,1.795562e+02,3.821427e-04,1.000000e+01,1,4,2,3
-1.301050e-03,-1.791824e+02,3.765438e-04,1.000000e+01,2,5,3,4
-1.407568e-03,-1.793841e+02,3.744458e-04,1.000000e+01,3,6,4,5
-1.642818e-03,-1.791043e+02,3.744458e-04,1.000000e+01,4,7,5,6
-1.749139e-03,-1.788624e+02,3.788950e-04,1.000000e+01,5,8,6,7
-1.836670e-03,1.781193e+02,3.911712e-04,1.000000e+01,6,9,7,8
-1.788989e-03,-1.798855e+02,3.911712e-04,1.000000e+01,7,10,8,9
-1.806080e-03,-1.789706e+02,4.045879e-04,1.000000e+01,8,11,9,10
-1.513491e-03,-1.789825e+02,4.138635e-04,1.000000e+01,9,12,10,11
-1.619534e-03,-1.791401e+02,4.138635e-04,1.000000e+01,10,13,11,12
-1.051693e-03,-1.776640e+02,4.187475e-04,1.000000e+01,11,14,12,13
-8.878912e-04,-1.778617e+02,4.130761e-04,1.000000e+01,12,15,13,14
-8.296915e-04,-1.790584e+02,4.130761e-04,1.000000e+01,13,16,14,15
-7.559998e-04,-1.785382e+02,4.078514e-04,1.000000e+01,14,17,15,16
-7.546454e-04,-1.786870e+02,3.999638e-04,1.000000e+01,15,18,16,17
-7.610034e-04,-1.792768e+02,3.999638e-04,1.000000e+01,16,19,17,18
-6.861679e-04,-1.791994e+02,3.955203e-04,1.000000e+01,17,20,18,19
-7.041959e-04,-1.789255e+02,3.878732e-04,1.000000e+01,18,21,19,20
-6.877988e-04,1.764357e+02,3.878732e-04,1.000000e+01,19,22,20,21
-7.286548e-04,1.796234e+02,3.834189e-04,1.000000e+01,20,23,21,22
-7.474596e-04,-1.791858e+02,3.763930e-04,1.000000e+01,21,24,22,23
-7.428242e-04,-1.791183e+02,3.763930e-04,1.000000e+01,22,25,23,24
-7.187180e-04,-1.777282e+02,3.711863e-04,1.000000e+01,23,26,24,25
-7.585108e-04,-1.787363e+02,3.648038e-04,1.000000e+01,24,27,25,26
-6.839759e-04,-1.788712e+02,3.648038e-04,1.000000e+01,25,28,26,27
-7.169686e-04,1.798843e+02,3.587201e-04,1.000000e+01,26,29,27,28
-6.818743e-04,-1.793786e+02,3.587201e-04,1.000000e+01,27,30,28,29
-7.225444e-04,-1.790056e+02,3.530566e-04,1.000000e+01,28,31,29,30
-7.464887e-04,-1.789762e+02,3.465157e-04,1.000000e+01,29,0,30,31
-7.557037e-04,-1.793606e+02,3.465157e-04,1.000000e+01,30,1,31,0
-7.081166e-04,1.779025e+02,3.415351e-04,1.000000e+01,31,2,0,1
