300.0Hz wait=60periods tc=10[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-8.591823e-04,1.797214e+02,4.019793e-04,3.000000e+02,0,3,1,2
-7.446183e-04,1.782220e+02,4.018854e-04,3.000000e+02,1,4,2,3
-1.291480e-03,1.798048e+02,4.017923e-04,3.000000e+02,2,5,3,4
-1.416927e-03,1.792626e+02,4.017923e-04,3.000000e+02,3,6,4,5
-1.620641e-03,1.796988e+02,4.033721e-04,3.000000e+02,4,7,5,6
-1.634966e-03,1.762459e+02,4.039335e-04,3.000000e+02,5,8,6,7
-1.830162e-03,1.704423e+02,4.028387e-04,3.000000e+02,6,9,7,8
-1.767729e-03,1.771936e+02,4.028387e-04,3.000000e+02,7,10,8,9
-1.770365e-03,1.777505e+02,4.017824e-04,3.000000e+02,8,11,9,10
-1.488557e-03,1.790359e+02,4.009994e-04,3.000000e+02,9,12,10,11
-1.566938e-03,1.794995e+02,3.997397e-04,3.000000e+02,10,13,11,12
-9.789898e-04,1.770139e+02,3.997397e-04,3.000000e+02,11,14,12,13
-8.005228e-04,-1.777147e+02,4.008875e-04,3.000000e+02,12,15,13,14
-8.070472e-04,1.787053e+02,4.013047e-04,3.000000e+02,13,16,14,15
-7.903822e-04,1.796270e+02,4.009045e-04,3.000000e+02,14,17,15,16
-7.437079e-04,1.788832e+02,4.009045e-04,3.000000e+02,15,18,16,17
-7.695629e-04,1.786448e+02,4.009252e-04,3.000000e+02,16,19,17,18
-6.947406e-04,1.793320e+02,4.002615e-04,3.000000e+02,17,20,18,19
-6.979686e-04,1.794784e+02,4.002615e-04,3.000000e+02,18,21,19,20
-7.751639e-04,1.771817e+02,4.004574e-04,3.000000e+02,19,22,20,21
-7.403311e-04,1.778515e+02,3.999507e-04,3.000000e+02,20,23,21,22
-7.762118e-04,1.784651e+02,3.997836e-04,3.000000e+02,21,24,22,23
-7.548440e-04,1.792886e+02,3.997836e-04,3.000000e+02,22,25,23,24
-7.580915e-04,1.791844e+02,3.994374e-04,3.000000e+02,23,26,24,25
-7.931156e-04,1.789637e+02,3.989319e-04,3.000000e+02,24,27,25,26
-6.945631e-04,1.758104e+02,3.982475e-04,3.000000e+02,25,28,26,27
-7.549337e-04,1.777070e+02,3.982475e-04,3.000000e+02,26,29,27,28
-6.954012e-04,1.799094e+02,3.979866e-04,3.000000e+02,27,30,28,29
-7.429576e-04,1.773774e+02,3.983208e-04,3.000000e+02,28,31,29,30
-7.811293e-04,-1.791652e+02,3.979495e-04,3.000000e+02,29,0,30,31
-7.682812e-04,1.776046e+02,3.979495e-04,3.000000e+02,30,1,31,0
-6.640321e-04,-1.740829e+02,3.981605e-04,3.000000e+02,31,2,0,1
