10.0Hz wait=60periods tc=13[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.170326e-03,-1.753632e+02,1.195405e-04,1.000000e+01,0,3,1,2
-7.712607e-04,-1.771917e+02,1.529327e-04,1.000000e+01,1,4,2,3
-1.318118e-03,-1.788066e+02,1.529327e-04,1.000000e+01,2,5,3,4
-1.391726e-03,-1.793027e+02,1.673038e-04,1.000000e+01,3,6,4,5
-1.634191e-03,-1.792863e+02,2.036776e-04,1.000000e+01,4,7,5,6
-1.806771e-03,-1.781213e+02,2.036776e-04,1.000000e+01,5,8,6,7
-1.774169e-03,-1.787154e+02,2.547484e-04,1.000000e+01,6,9,7,8
-1.766572e-03,-1.790959e+02,2.980769e-04,1.000000e+01,7,10,8,9
-1.804408e-03,-1.789089e+02,2.980769e-04,1.000000e+01,8,11,9,10
-1.513786e-03,-1.790088e+02,3.349441e-04,1.000000e+01,9,12,10,11
-1.618093e-03,-1.791589e+02,3.571333e-04,1.000000e+01,10,13,11,12
-1.114202e-03,-1.769006e+02,3.571333e-04,1.000000e+01,11,14,12,13
-9.080188e-04,-1.782283e+02,3.712866e-04,1.000000e+01,12,15,13,14
-8.333428e-04,-1.791732e+02,3.726676e-04,1.000000e+01,13,16,14,15
-7.587542e-04,-1.783872e+02,3.726676e-04,1.000000e+01,14,17,15,16
-7.557367e-04,-1.786183e+02,3.727800e-04,1.000000e+01,15,18,16,17
-7.602386e-04,-1.790294e+02,3.726503e-04,1.000000e+01,16,19,17,18
-6.855112e-04,-1.791900e+02,3.726503e-04,1.000000e+01,17,20,18,19
-7.069899e-04,-1.791149e+02,3.722894e-04,1.000000e+01,18,21,19,20
-6.630735e-04,-1.799735e+02,3.717853e-04,1.000000e+01,19,22,20,21
-7.189959e-04,-1.795126e+02,3.717853e-04,1.000000e+01,20,23,21,22
-7.494339e-04,-1.792017e+02,3.712816e-04,1.000000e+01,21,24,22,23
-7.448780e-04,-1.789617e+02,3.712816e-04,1.000000e+01,22,25,23,24
-7.349522e-04,-1.775055e+02,3.708967e-04,1.000000e+01,23,26,24,25
-7.594136e-04,-1.788941e+02,3.704098e-04,1.000000e+01,24,27,25,26
-6.860032e-04,-1.788570e+02,3.704098e-04,1.000000e+01,25,28,26,27
-7.184569e-04,1.766273e+02,3.698696e-04,1.000000e+01,26,29,27,28
-6.800032e-04,1.791605e+02,3.691950e-04,1.000000e+01,27,30,28,29
-7.236968e-04,-1.793318e+02,3.691950e-04,1.000000e+01,28,31,29,30
-7.473704e-04,-1.790154e+02,3.684437e-04,1.000000e+01,29,0,30,31
-7.589179e-04,-1.793146e+02,3.677929e-04,1.000000e+01,30,1,31,0
-7.435196e-04,1.781950e+02,3.677929e-04,1.000000e+01,31,2,0,1
