Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
-1.168800e-03,1.797558e+02,4.981013e-06,5.000000e+03,0,1,0,1
-1.100604e-03,1.798059e+02,3.728542e-06,5.000000e+03,1,2,1,2
-1.193529e-03,1.797317e+02,5.588900e-06,5.000000e+03,2,3,2,3
-1.513156e-03,1.787410e+02,3.325520e-05,5.000000e+03,3,4,3,4
-2.655965e-03,1.784532e+02,7.171894e-05,5.000000e+03,4,5,4,5
-3.090512e-03,1.798140e+02,1.002953e-05,5.000000e+03,5,6,5,6
-3.115702e-03,1.787896e+02,6.582823e-05,5.000000e+03,6,7,6,7
-2.965942e-03,1.775927e+02,1.246895e-04,5.000000e+03,7,8,7,8
-2.980679e-03,1.783432e+02,8.621369e-05,5.000000e+03,8,9,8,9
-2.923245e-03,1.788467e+02,5.884742e-05,5.000000e+03,9,10,9,10
-3.013953e-03,1.789226e+02,5.667840e-05,5.000000e+03,10,11,10,11
-3.014419e-03,1.788603e+02,5.996794e-05,5.000000e+03,11,12,11,12
-2.781928e-03,1.788558e+02,5.556231e-05,5.000000e+03,12,13,12,13
-1.632822e-03,1.787402e+02,3.590572e-05,5.000000e+03,13,14,13,14
-1.245889e-03,-1.799602e+02,-8.663346e-07,5.000000e+03,14,15,14,15
-1.096147e-03,-1.799313e+02,-1.313745e-06,5.000000e+03,15,16,15,16
-1.062668e-03,1.796510e+02,6.472536e-06,5.000000e+03,16,17,16,17
-1.068849e-03,1.792336e+02,1.429857e-05,5.000000e+03,17,18,17,18
-1.077461e-03,1.796675e+02,6.251783e-06,5.000000e+03,18,19,18,19
-1.064151e-03,-1.799776e+02,-4.153647e-07,5.000000e+03,19,20,19,20
-1.177620e-03,1.792278e+02,1.587150e-05,5.000000e+03,20,21,20,21
-1.131178e-03,1.791094e+02,1.758447e-05,5.000000e+03,21,22,21,22
-1.125953e-03,1.785136e+02,2.921696e-05,5.000000e+03,22,23,22,23
-1.095055e-03,1.796078e+02,7.496241e-06,5.000000e+03,23,24,23,24
-1.067948e-03,1.785332e+02,2.734500e-05,5.000000e+03,24,25,24,25
-1.092522e-03,1.783527e+02,3.141936e-05,5.000000e+03,25,26,25,26
-1.125182e-03,1.780209e+02,3.888116e-05,5.000000e+03,26,27,26,27
-1.101580e-03,1.787310e+02,2.440215e-05,5.000000e+03,27,28,27,28
-1.185853e-03,1.795418e+02,9.483470e-06,5.000000e+03,28,29,28,29
-1.107185e-03,1.792563e+02,1.437248e-05,5.000000e+03,29,30,29,30
-1.094069e-03,1.789553e+02,1.995108e-05,5.000000e+03,30,31,30,31
-1.053073e-03,1.781805e+02,3.345225e-05,5.000000e+03,31,0,31,0
