300000.0Hz wait=60periods tc=5[x,theta, y,fint,sin+,sin-,v+,v-]
-2.969804e-07,9.446383e+01,3.804190e-06,3.000000e+05,0,1,3,2
1.438504e-06,6.286587e+01,2.829091e-06,3.000000e+05,7,8,10,9
