sin+,sin-,v_high,v_low,voltage
0,1,3,2,-3.717527e-03
0,1,4,3,-3.690419e-03
0,1,5,4,-3.680144e-03
0,1,6,5,-3.680263e-03
0,1,7,6,-3.683335e-03
0,1,8,7,-3.688081e-03
0,1,9,8,-3.694188e-03
0,1,10,9,-3.699708e-03
0,1,11,10,-3.703995e-03
0,1,12,11,-3.710239e-03
0,1,13,12,-3.719402e-03
0,1,14,13,-3.728111e-03
0,1,15,14,-3.733382e-03
0,1,16,15,-3.738985e-03
0,1,17,16,-3.746979e-03
0,1,18,17,-3.754511e-03
0,1,19,18,-3.758360e-03
0,1,20,19,-3.760099e-03
0,1,21,20,-3.763243e-03
0,1,22,21,-3.768394e-03
0,1,23,22,-3.772541e-03
0,1,24,23,-3.776151e-03
0,1,25,24,-3.781175e-03
0,1,26,25,-3.786063e-03
0,1,27,26,-3.786343e-03
0,1,28,27,-3.784097e-03
0,1,29,28,-3.782565e-03
0,1,30,29,-3.782178e-03
0,1,31,30,-3.779754e-03
1,2,4,3,-3.776601e-03
1,2,5,4,-3.776376e-03
1,2,6,5,-3.776783e-03
1,2,7,6,-3.776283e-03
1,2,8,7,-3.775514e-03
1,2,9,8,-3.773584e-03
1,2,10,9,-3.767876e-03
1,2,11,10,-3.762615e-03
1,2,12,11,-3.759788e-03
1,2,13,12,-3.756797e-03
1,2,14,13,-3.754496e-03
1,2,15,14,-3.751757e-03
1,2,16,15,-3.750559e-03
1,2,17,16,-3.750590e-03
1,2,18,17,-3.750103e-03
1,2,19,18,-3.749110e-03
1,2,20,19,-3.750714e-03
1,2,21,20,-3.754186e-03
1,2,22,21,-3.756985e-03
1,2,23,22,-3.758482e-03
1,2,24,23,-3.761230e-03
1,2,25,24,-3.766780e-03
1,2,26,25,-3.769726e-03
1,2,27,26,-3.769783e-03
1,2,28,27,-3.768781e-03
1,2,29,28,-3.767848e-03
1,2,30,29,-3.765472e-03
1,2,31,30,-3.760758e-03
1,2,0,31,-3.756525e-03
2,3,1,0,-3.754832e-03
2,3,5,4,-3.753659e-03
2,3,6,5,-3.752881e-03
2,3,7,6,-3.753858e-03
2,3,8,7,-3.755954e-03
2,3,9,8,-3.756214e-03
2,3,10,9,-3.755164e-03
2,3,11,10,-3.755175e-03
2,3,12,11,-3.755570e-03
2,3,13,12,-3.755732e-03
2,3,14,13,-3.756371e-03
2,3,15,14,-3.756792e-03
2,3,16,15,-3.759998e-03
2,3,17,16,-3.765370e-03
2,3,18,17,-3.769315e-03
2,3,19,18,-3.770892e-03
2,3,20,19,-3.772695e-03
2,3,21,20,-3.776191e-03
2,3,22,21,-3.778907e-03
2,3,23,22,-3.780394e-03
2,3,24,23,-3.782501e-03
2,3,25,24,-3.786302e-03
2,3,26,25,-3.791167e-03
2,3,27,26,-3.791827e-03
2,3,28,27,-3.790651e-03
2,3,29,28,-3.792551e-03
2,3,30,29,-3.791475e-03
2,3,31,30,-3.787569e-03
2,3,0,31,-3.783914e-03
3,4,1,0,-3.782883e-03
3,4,2,1,-3.781513e-03
3,4,6,5,-3.780063e-03
3,4,7,6,-3.780923e-03
3,4,8,7,-3.780394e-03
3,4,9,8,-3.777255e-03
3,4,10,9,-3.774284e-03
3,4,11,10,-3.766832e-03
3,4,12,11,-3.760118e-03
3,4,13,12,-3.755956e-03
3,4,14,13,-3.752661e-03
3,4,15,14,-3.750624e-03
3,4,16,15,-3.750880e-03
3,4,17,16,-3.754462e-03
3,4,18,17,-3.758089e-03
3,4,19,18,-3.760972e-03
3,4,20,19,-3.765597e-03
3,4,21,20,-3.772257e-03
3,4,22,21,-3.777478e-03
3,4,23,22,-3.779255e-03
3,4,24,23,-3.780936e-03
3,4,25,24,-3.780183e-03
3,4,26,25,-3.776098e-03
3,4,27,26,-3.771392e-03
3,4,28,27,-3.770002e-03
3,4,29,28,-3.769302e-03
3,4,30,29,-3.770010e-03
3,4,31,30,-3.769822e-03
3,4,0,31,-3.767949e-03
4,5,1,0,-3.766059e-03
4,5,2,1,-3.766232e-03
4,5,3,2,-3.766389e-03
4,5,7,6,-3.765985e-03
4,5,8,7,-3.766486e-03
4,5,9,8,-3.768494e-03
4,5,10,9,-3.771399e-03
4,5,11,10,-3.771790e-03
4,5,12,11,-3.771121e-03
4,5,13,12,-3.770160e-03
4,5,14,13,-3.767452e-03
4,5,15,14,-3.764675e-03
4,5,16,15,-3.765987e-03
4,5,17,16,-3.768083e-03
4,5,18,17,-3.768537e-03
4,5,19,18,-3.770024e-03
4,5,20,19,-3.771212e-03
4,5,21,20,-3.769547e-03
4,5,22,21,-3.768059e-03
4,5,23,22,-3.767425e-03
4,5,24,23,-3.763876e-03
4,5,25,24,-3.759530e-03
4,5,26,25,-3.757346e-03
4,5,27,26,-3.759326e-03
4,5,28,27,-3.762293e-03
4,5,29,28,-3.763707e-03
4,5,30,29,-3.764576e-03
4,5,31,30,-3.767413e-03
4,5,0,31,-3.770833e-03
5,6,1,0,-3.772361e-03
5,6,2,1,-3.773835e-03
5,6,3,2,-3.777678e-03
5,6,4,3,-3.780004e-03
5,6,8,7,-3.780278e-03
5,6,9,8,-3.784759e-03
5,6,10,9,-3.790091e-03
5,6,11,10,-3.792085e-03
5,6,12,11,-3.790240e-03
5,6,13,12,-3.788921e-03
5,6,14,13,-3.795069e-03
5,6,15,14,-3.798994e-03
5,6,16,15,-3.797621e-03
5,6,17,16,-3.794710e-03
5,6,18,17,-3.793692e-03
5,6,19,18,-3.793183e-03
5,6,20,19,-3.792218e-03
5,6,21,20,-3.791655e-03
5,6,22,21,-3.798487e-03
5,6,23,22,-3.802754e-03
5,6,24,23,-3.802712e-03
5,6,25,24,-3.802795e-03
5,6,26,25,-3.802168e-03
5,6,27,26,-3.799493e-03
5,6,28,27,-3.796804e-03
5,6,29,28,-3.796004e-03
5,6,30,29,-3.794054e-03
5,6,31,30,-3.791055e-03
5,6,0,31,-3.790308e-03
6,7,1,0,-3.791704e-03
6,7,2,1,-3.792151e-03
6,7,3,2,-3.790971e-03
6,7,4,3,-3.790420e-03
6,7,5,4,-3.791890e-03
6,7,9,8,-3.792369e-03
6,7,10,9,-3.791479e-03
6,7,11,10,-3.791026e-03
6,7,12,11,-3.791454e-03
6,7,13,12,-3.789581e-03
6,7,14,13,-3.786836e-03
6,7,15,14,-3.785138e-03
6,7,16,15,-3.784078e-03
6,7,17,16,-3.781225e-03
6,7,18,17,-3.778351e-03
6,7,19,18,-3.776708e-03
6,7,20,19,-3.774761e-03
6,7,21,20,-3.771493e-03
6,7,22,21,-3.768130e-03
6,7,23,22,-3.765204e-03
6,7,24,23,-3.761980e-03
6,7,25,24,-3.758915e-03
6,7,26,25,-3.758836e-03
6,7,27,26,-3.760576e-03
6,7,28,27,-3.762068e-03
6,7,29,28,-3.764038e-03
6,7,30,29,-3.767506e-03
6,7,31,30,-3.771140e-03
6,7,0,31,-3.772613e-03
7,8,1,0,-3.773005e-03
7,8,2,1,-3.774203e-03
7,8,3,2,-3.773157e-03
7,8,4,3,-3.770489e-03
7,8,5,4,-3.769744e-03
7,8,6,5,-3.771400e-03
7,8,10,9,-3.771389e-03
7,8,11,10,-3.770722e-03
7,8,12,11,-3.770573e-03
7,8,13,12,-3.768209e-03
7,8,14,13,-3.765074e-03
7,8,15,14,-3.762201e-03
7,8,16,15,-3.761917e-03
7,8,17,16,-3.762789e-03
7,8,18,17,-3.763614e-03
7,8,19,18,-3.765400e-03
7,8,20,19,-3.769821e-03
7,8,21,20,-3.774539e-03
7,8,22,21,-3.776684e-03
7,8,23,22,-3.778389e-03
7,8,24,23,-3.777850e-03
7,8,25,24,-3.774652e-03
7,8,26,25,-3.770878e-03
7,8,27,26,-3.768899e-03
7,8,28,27,-3.767652e-03
7,8,29,28,-3.766680e-03
7,8,30,29,-3.765655e-03
7,8,31,30,-3.766239e-03
7,8,0,31,-3.766148e-03
8,9,1,0,-3.765392e-03
8,9,2,1,-3.764872e-03
8,9,3,2,-3.766735e-03
8,9,4,3,-3.769244e-03
8,9,5,4,-3.770659e-03
8,9,6,5,-3.772364e-03
8,9,7,6,-3.773782e-03
8,9,11,10,-3.772469e-03
8,9,12,11,-3.772372e-03
8,9,13,12,-3.775221e-03
8,9,14,13,-3.777711e-03
8,9,15,14,-3.776405e-03
8,9,16,15,-3.775452e-03
8,9,17,16,-3.772540e-03
8,9,18,17,-3.768872e-03
8,9,19,18,-3.765779e-03
8,9,20,19,-3.764874e-03
8,9,21,20,-3.763703e-03
8,9,22,21,-3.761348e-03
8,9,23,22,-3.760048e-03
8,9,24,23,-3.760868e-03
8,9,25,24,-3.759523e-03
8,9,26,25,-3.755566e-03
8,9,27,26,-3.754069e-03
8,9,28,27,-3.756358e-03
8,9,29,28,-3.759317e-03
8,9,30,29,-3.761510e-03
8,9,31,30,-3.765483e-03
8,9,0,31,-3.770640e-03
9,10,1,0,-3.773836e-03
9,10,2,1,-3.775298e-03
9,10,3,2,-3.777541e-03
9,10,4,3,-3.781072e-03
