300000.0Hz wait=120periods tc=6[x,theta, y,fint,sin+,sin-,v+,v-]
6.910162e-06,4.394551e+01,7.294378e-06,3.000000e+05,0,1,3,2
1.059810e-04,4.800904e+01,1.127255e-04,3.000000e+05,7,8,10,9
