300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
4.634975e-06,4.196485e+01,4.706416e-04,3.000000e+05,0,3,1,2
-6.484031e-07,1.118668e+02,4.662226e-04,3.000000e+05,1,4,2,3
-8.017368e-07,1.124183e+02,4.615205e-04,3.000000e+05,2,5,3,4
-8.084492e-07,1.136810e+02,4.521616e-04,3.000000e+05,3,6,4,5
-6.186262e-07,1.040056e+02,4.411303e-04,3.000000e+05,4,7,5,6
-1.223775e-06,1.199501e+02,4.357604e-04,3.000000e+05,5,8,6,7
-2.209196e-07,9.744102e+01,4.215862e-04,3.000000e+05,6,9,7,8
5.317699e-08,8.843340e+01,4.091868e-04,3.000000e+05,7,10,8,9
-6.296739e-07,1.072022e+02,3.966577e-04,3.000000e+05,8,11,9,10
5.270809e-07,7.205180e+01,3.761369e-04,3.000000e+05,9,12,10,11
3.112235e-07,8.227967e+01,3.807673e-04,3.000000e+05,10,13,11,12
-1.006421e-06,1.214999e+02,3.756807e-04,3.000000e+05,11,14,12,13
-1.224748e-06,1.337162e+02,3.754768e-04,3.000000e+05,12,15,13,14
1.478898e-07,8.650684e+01,3.913941e-04,3.000000e+05,13,16,14,15
-1.284958e-06,1.338233e+02,4.012952e-04,3.000000e+05,14,17,15,16
-1.148867e-06,1.373972e+02,4.042495e-04,3.000000e+05,15,18,16,17
-1.478869e-06,1.380645e+02,4.029353e-04,3.000000e+05,16,19,17,18
4.502277e-08,8.765958e+01,3.918665e-04,3.000000e+05,17,20,18,19
2.470058e-07,8.019693e+01,3.923553e-04,3.000000e+05,18,21,19,20
-1.611094e-06,1.438808e+02,3.903469e-04,3.000000e+05,19,22,20,21
-1.527429e-06,1.380801e+02,3.827957e-04,3.000000e+05,20,23,21,22
6.935074e-06,4.012540e+01,3.803870e-04,3.000000e+05,21,24,22,23
-1.908157e-06,1.473896e+02,3.772482e-04,3.000000e+05,22,25,23,24
-1.484591e-06,1.345552e+02,3.735748e-04,3.000000e+05,23,26,24,25
-1.793308e-06,1.403025e+02,3.659768e-04,3.000000e+05,24,27,25,26
6.966457e-06,3.122718e+01,3.364055e-04,3.000000e+05,25,28,26,27
-1.801580e-06,1.432362e+02,3.395547e-04,3.000000e+05,26,29,27,28
-1.695872e-06,1.410257e+02,3.302432e-04,3.000000e+05,27,30,28,29
-2.231989e-06,1.459146e+02,3.297513e-04,3.000000e+05,28,31,29,30
-2.127189e-06,1.459419e+02,3.333679e-04,3.000000e+05,29,0,30,31
-1.818350e-06,1.353297e+02,3.369506e-04,3.000000e+05,30,1,31,0
-1.978543e-06,1.362557e+02,3.390140e-04,3.000000e+05,31,2,0,1
