300000.0Hz wait=100periods tc=5[x,theta, y,fint,sin+,sin-,v+,v-]
1.649808e-05,-7.344209e+01,2.263274e-05,3.000000e+05,0,1,3,2
1.612028e-05,-6.015279e+01,9.557752e-05,3.000000e+05,7,8,10,9
