Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
-1.153980e-03,-1.790370e+02,-1.939742e-05,5.000000e+03,0,1,0,1
-1.127512e-03,1.792854e+02,1.406248e-05,5.000000e+03,1,2,1,2
-1.154509e-03,1.790196e+02,1.975706e-05,5.000000e+03,2,3,2,3
-1.343461e-03,1.771414e+02,6.708437e-05,5.000000e+03,3,4,3,4
-2.540453e-03,1.781372e+02,8.262278e-05,5.000000e+03,4,5,4,5
-3.016315e-03,-1.798018e+02,-1.043313e-05,5.000000e+03,5,6,5,6
-3.073591e-03,1.793764e+02,3.345293e-05,5.000000e+03,6,7,6,7
-2.974607e-03,1.781497e+02,9.609279e-05,5.000000e+03,7,8,7,8
-2.911456e-03,1.784453e+02,7.901835e-05,5.000000e+03,8,9,8,9
-3.030055e-03,1.788899e+02,5.871399e-05,5.000000e+03,9,10,9,10
-3.038430e-03,1.789627e+02,5.501451e-05,5.000000e+03,10,11,10,11
-2.966550e-03,1.788628e+02,5.888840e-05,5.000000e+03,11,12,11,12
-2.895773e-03,1.787323e+02,6.407991e-05,5.000000e+03,12,13,12,13
-1.528882e-03,1.794239e+02,1.537218e-05,5.000000e+03,13,14,13,14
-1.191728e-03,1.785612e+02,2.993216e-05,5.000000e+03,14,15,14,15
-1.083867e-03,1.786470e+02,2.559909e-05,5.000000e+03,15,16,15,16
-1.112684e-03,1.783277e+02,3.248416e-05,5.000000e+03,16,17,16,17
-1.118830e-03,1.794026e+02,1.166658e-05,5.000000e+03,17,18,17,18
-1.069097e-03,1.781571e+02,3.439944e-05,5.000000e+03,18,19,18,19
-1.105882e-03,1.787481e+02,2.416752e-05,5.000000e+03,19,20,19,20
-1.226134e-03,1.790865e+02,1.954979e-05,5.000000e+03,20,21,20,21
-1.153341e-03,1.791849e+02,1.640818e-05,5.000000e+03,21,22,21,22
-1.066522e-03,-1.799052e+02,-1.764284e-06,5.000000e+03,22,23,22,23
-1.058707e-03,-1.788059e+02,-2.206704e-05,5.000000e+03,23,24,23,24
-1.087784e-03,1.799343e+02,1.246982e-06,5.000000e+03,24,25,24,25
-1.108256e-03,1.791414e+02,1.660842e-05,5.000000e+03,25,26,25,26
-1.094746e-03,1.785029e+02,2.861102e-05,5.000000e+03,26,27,26,27
-1.099105e-03,1.781096e+02,3.627597e-05,5.000000e+03,27,28,27,28
-1.195305e-03,1.786073e+02,2.906036e-05,5.000000e+03,28,29,28,29
-1.135321e-03,1.789470e+02,2.086662e-05,5.000000e+03,29,30,29,30
-1.082208e-03,1.789110e+02,2.057191e-05,5.000000e+03,30,31,30,31
-1.070924e-03,1.789544e+02,1.954586e-05,5.000000e+03,31,0,31,0
