300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.359282e-06,1.249793e+02,4.868959e-04,3.000000e+05,0,3,1,2
3.460994e-07,7.416708e+01,4.708873e-04,3.000000e+05,1,4,2,3
-1.211417e-07,9.346008e+01,4.638763e-04,3.000000e+05,2,5,3,4
-6.927612e-07,1.066627e+02,4.552571e-04,3.000000e+05,3,6,4,5
-6.981469e-07,1.090309e+02,4.386787e-04,3.000000e+05,4,7,5,6
2.740217e-07,8.356195e+01,4.297762e-04,3.000000e+05,5,8,6,7
-2.429344e-08,9.071139e+01,4.192596e-04,3.000000e+05,6,9,7,8
-6.808393e-07,1.074491e+02,4.108383e-04,3.000000e+05,7,10,8,9
-5.461409e-07,1.035697e+02,3.956527e-04,3.000000e+05,8,11,9,10
-3.759973e-06,-1.566078e+02,3.735339e-04,3.000000e+05,9,12,10,11
-8.476897e-07,1.234749e+02,3.671705e-04,3.000000e+05,10,13,11,12
-1.024018e-06,1.298869e+02,3.660783e-04,3.000000e+05,11,14,12,13
-1.191038e-06,1.310353e+02,3.788930e-04,3.000000e+05,12,15,13,14
2.288268e-08,8.851816e+01,3.893846e-04,3.000000e+05,13,16,14,15
-1.082259e-06,1.267411e+02,4.048027e-04,3.000000e+05,14,17,15,16
1.179935e-07,8.717887e+01,4.030403e-04,3.000000e+05,15,18,16,17
-1.464388e-06,1.347185e+02,4.024682e-04,3.000000e+05,16,19,17,18
-5.546792e-06,-1.277656e+02,3.952333e-04,3.000000e+05,17,20,18,19
-4.174718e-07,9.816751e+01,3.914298e-04,3.000000e+05,18,21,19,20
-1.616844e-06,1.455450e+02,3.895064e-04,3.000000e+05,19,22,20,21
-1.981719e-07,9.537970e+01,3.819214e-04,3.000000e+05,20,23,21,22
-1.753744e-06,1.400308e+02,3.826153e-04,3.000000e+05,21,24,22,23
-8.302225e-07,1.211277e+02,3.773555e-04,3.000000e+05,22,25,23,24
-1.022997e-06,1.178366e+02,3.752020e-04,3.000000e+05,23,26,24,25
-4.268079e-04,1.519039e+02,3.713105e-04,3.000000e+05,24,27,25,26
-1.466703e-06,1.331458e+02,3.268117e-04,3.000000e+05,25,28,26,27
-2.170728e-06,1.468774e+02,3.197051e-04,3.000000e+05,26,29,27,28
-1.555287e-06,1.384833e+02,3.172616e-04,3.000000e+05,27,30,28,29
-3.716071e-07,9.795540e+01,3.165651e-04,3.000000e+05,28,31,29,30
-1.239131e-06,1.211403e+02,3.255447e-04,3.000000e+05,29,0,30,31
-1.712197e-06,1.304423e+02,3.263737e-04,3.000000e+05,30,1,31,0
-1.549916e-06,1.292862e+02,3.295173e-04,3.000000e+05,31,2,0,1
