30000.0Hz wait=60periods tc=6[x,theta, xnoise,fint,sin+,sin-,v+,v-]
6.740139e-06,-7.148507e+01,2.671799e-04,3.000000e+04,0,3,1,2
-4.720610e-05,1.503564e+02,2.914951e-04,3.000000e+04,1,4,2,3
-9.708312e-06,1.051850e+02,3.487626e-04,3.000000e+04,2,5,3,4
-1.454986e-05,1.265820e+02,4.501635e-04,3.000000e+04,3,6,4,5
-1.322124e-05,1.282802e+02,4.960448e-04,3.000000e+04,4,7,5,6
-5.933846e-05,1.328667e+02,5.734104e-04,3.000000e+04,5,8,6,7
-1.081298e-05,1.268961e+02,6.416858e-04,3.000000e+04,6,9,7,8
-7.462851e-06,1.084064e+02,6.956487e-04,3.000000e+04,7,10,8,9
-1.313878e-05,1.381154e+02,7.374447e-04,3.000000e+04,8,11,9,10
-1.190134e-05,1.190136e+02,7.842578e-04,3.000000e+04,9,12,10,11
-8.489314e-06,1.051520e+02,7.954628e-04,3.000000e+04,10,13,11,12
-7.752834e-06,1.218780e+02,8.204826e-04,3.000000e+04,11,14,12,13
-7.528383e-06,1.131921e+02,8.273623e-04,3.000000e+04,12,15,13,14
-2.327619e-06,9.448375e+01,8.410402e-04,3.000000e+04,13,16,14,15
-3.388857e-06,1.152331e+02,8.504137e-04,3.000000e+04,14,17,15,16
-2.585537e-06,1.100863e+02,8.570008e-04,3.000000e+04,15,18,16,17
-1.674574e-03,1.727412e+02,8.491016e-04,3.000000e+04,16,19,17,18
-6.334153e-06,1.223257e+02,8.201585e-04,3.000000e+04,17,20,18,19
-6.379895e-06,1.082994e+02,8.140103e-04,3.000000e+04,18,21,19,20
-5.596749e-06,1.143461e+02,7.803368e-04,3.000000e+04,19,22,20,21
-7.474875e-04,1.777660e+02,7.436571e-04,3.000000e+04,20,23,21,22
-1.379132e-05,1.154663e+02,7.015134e-04,3.000000e+04,21,24,22,23
-8.334064e-06,1.289551e+02,6.507966e-04,3.000000e+04,22,25,23,24
-5.622350e-06,1.340773e+02,5.796453e-04,3.000000e+04,23,26,24,25
-9.143687e-06,1.303681e+02,5.437527e-04,3.000000e+04,24,27,25,26
-6.993882e-06,1.032373e+02,4.943449e-04,3.000000e+04,25,28,26,27
-9.571881e-06,1.077387e+02,4.966181e-04,3.000000e+04,26,29,27,28
-7.542379e-05,1.571542e+02,4.912886e-04,3.000000e+04,27,30,28,29
-8.511578e-06,1.144090e+02,4.930763e-04,3.000000e+04,28,31,29,30
-1.244705e-06,9.886673e+01,4.946882e-04,3.000000e+04,29,0,30,31
-6.926333e-06,1.053740e+02,4.928863e-04,3.000000e+04,30,1,31,0
-3.162398e-05,1.623748e+02,4.936695e-04,3.000000e+04,31,2,0,1
