30.0Hz wait=60periods tc=12[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-8.638468e-04,1.796448e+02,3.670624e-04,3.000000e+01,0,3,1,2
-7.139382e-04,-1.795489e+02,3.667026e-04,3.000000e+01,1,4,2,3
-1.310322e-03,-1.794896e+02,3.667026e-04,3.000000e+01,2,5,3,4
-1.435577e-03,-1.799440e+02,3.698425e-04,3.000000e+01,3,6,4,5
-1.641650e-03,1.799142e+02,3.821531e-04,3.000000e+01,4,7,5,6
-1.982990e-03,1.777799e+02,3.821531e-04,3.000000e+01,5,8,6,7
-2.166405e-03,1.786000e+02,4.148006e-04,3.000000e+01,6,9,7,8
-1.868421e-03,1.795475e+02,4.482633e-04,3.000000e+01,7,10,8,9
-1.862205e-03,1.796258e+02,4.482633e-04,3.000000e+01,8,11,9,10
-1.526265e-03,1.797029e+02,4.674857e-04,3.000000e+01,9,12,10,11
-1.624259e-03,1.796530e+02,4.674857e-04,3.000000e+01,10,13,11,12
-1.012983e-03,1.762961e+02,4.764058e-04,3.000000e+01,11,14,12,13
-8.935777e-04,-1.798928e+02,4.781777e-04,3.000000e+01,12,15,13,14
-8.328494e-04,-1.799199e+02,4.781777e-04,3.000000e+01,13,16,14,15
-8.236078e-04,-1.785758e+02,4.763809e-04,3.000000e+01,14,17,15,16
-7.724242e-04,-1.797130e+02,4.744270e-04,3.000000e+01,15,18,16,17
-7.717677e-04,1.799957e+02,4.744270e-04,3.000000e+01,16,19,17,18
-7.002181e-04,1.799635e+02,4.723899e-04,3.000000e+01,17,20,18,19
-7.132319e-04,1.792335e+02,4.704212e-04,3.000000e+01,18,21,19,20
-6.847343e-04,1.798065e+02,4.704212e-04,3.000000e+01,19,22,20,21
-7.273671e-04,1.789730e+02,4.684481e-04,3.000000e+01,20,23,21,22
-7.422189e-04,-1.799074e+02,4.663739e-04,3.000000e+01,21,24,22,23
-7.372661e-04,-1.798735e+02,4.663739e-04,3.000000e+01,22,25,23,24
-7.074568e-04,-1.737017e+02,4.642297e-04,3.000000e+01,23,26,24,25
-7.530588e-04,-1.780628e+02,4.620723e-04,3.000000e+01,24,27,25,26
-6.907645e-04,-1.792846e+02,4.620723e-04,3.000000e+01,25,28,26,27
-7.224629e-04,-1.766210e+02,4.598584e-04,3.000000e+01,26,29,27,28
-6.724108e-04,-1.796638e+02,4.598584e-04,3.000000e+01,27,30,28,29
-7.290114e-04,1.798575e+02,4.576606e-04,3.000000e+01,28,31,29,30
-7.531719e-04,1.799438e+02,4.553796e-04,3.000000e+01,29,0,30,31
-7.627990e-04,1.798273e+02,4.553796e-04,3.000000e+01,30,1,31,0
-6.483225e-04,-1.781400e+02,4.528934e-04,3.000000e+01,31,2,0,1
