sin+,sin-,v_high,v_low,voltage
0,1,3,2,-8.886844e-05
0,1,4,3,-1.032962e-04
0,1,5,4,-8.376017e-05
0,1,6,5,-7.411890e-05
0,1,7,6,-5.349626e-05
0,1,8,7,-3.530280e-05
0,1,9,8,-4.144176e-05
0,1,10,9,-2.747867e-05
0,1,11,10,-1.474836e-05
0,1,12,11,-1.040174e-05
0,1,13,12,1.671612e-06
0,1,14,13,-4.961310e-06
0,1,15,14,-1.034070e-05
0,1,16,15,-4.661004e-06
0,1,17,16,-1.429989e-06
0,1,18,17,-2.051362e-06
0,1,19,18,-4.681906e-06
0,1,20,19,-6.748325e-06
0,1,21,20,-3.164370e-07
0,1,22,21,-1.546870e-05
0,1,23,22,-1.348397e-06
0,1,24,23,-1.395184e-05
0,1,25,24,-1.689157e-05
0,1,26,25,-1.813254e-05
0,1,27,26,-2.118668e-05
0,1,28,27,-2.132680e-05
0,1,29,28,-2.291459e-05
0,1,30,29,-4.623273e-05
0,1,31,30,-9.679900e-05
1,2,4,3,-2.617103e-04
1,2,5,4,-1.575713e-04
1,2,6,5,-9.975485e-05
1,2,7,6,-6.499759e-05
1,2,8,7,-3.987970e-05
1,2,9,8,-2.462629e-05
1,2,10,9,-1.384885e-05
1,2,11,10,-7.938381e-06
1,2,12,11,-6.827122e-06
1,2,13,12,-4.198769e-06
1,2,14,13,-2.825077e-06
1,2,15,14,-4.766452e-06
1,2,16,15,-7.355416e-06
1,2,17,16,-6.896963e-06
1,2,18,17,-5.434610e-06
1,2,19,18,-3.543610e-06
1,2,20,19,-2.618666e-06
1,2,21,20,-4.218749e-06
1,2,22,21,-5.832328e-06
1,2,23,22,-7.590079e-06
1,2,24,23,-9.961481e-06
1,2,25,24,-1.108298e-05
1,2,26,25,-1.069337e-05
1,2,27,26,-5.971678e-06
1,2,28,27,-1.051106e-05
1,2,29,28,-1.325378e-05
1,2,30,29,-2.319376e-05
1,2,31,30,-4.113634e-05
1,2,0,31,-8.524414e-05
2,3,1,0,-6.507190e-05
2,3,5,4,-2.025001e-04
2,3,6,5,-1.550710e-04
2,3,7,6,-6.949221e-05
2,3,8,7,-3.122434e-05
2,3,9,8,-4.694936e-05
2,3,10,9,-3.268381e-05
2,3,11,10,-7.802481e-06
2,3,12,11,-7.046307e-06
2,3,13,12,2.226487e-05
2,3,14,13,-3.049036e-05
2,3,15,14,-1.357231e-05
2,3,16,15,-5.676654e-06
2,3,17,16,-3.020025e-06
2,3,18,17,-5.417370e-06
2,3,19,18,-4.426386e-06
2,3,20,19,1.179948e-05
2,3,21,20,2.008873e-05
2,3,22,21,-1.646637e-05
2,3,23,22,-2.505342e-06
2,3,24,23,-5.249157e-06
2,3,25,24,-6.203608e-06
2,3,26,25,-5.011796e-06
2,3,27,26,-9.891534e-06
2,3,28,27,-1.317000e-05
2,3,29,28,-6.976078e-06
2,3,30,29,-9.535462e-06
2,3,31,30,-1.424665e-05
2,3,0,31,-2.774941e-05
3,4,1,0,-1.178207e-04
3,4,2,1,-2.674649e-04
3,4,6,5,-5.540993e-04
3,4,7,6,-3.158701e-04
3,4,8,7,-1.478525e-04
3,4,9,8,-7.318877e-05
3,4,10,9,-3.705298e-05
3,4,11,10,-1.884746e-05
3,4,12,11,-1.445892e-05
3,4,13,12,-6.450245e-06
3,4,14,13,-7.350031e-06
3,4,15,14,-7.186755e-06
3,4,16,15,-2.564680e-06
3,4,17,16,-7.314803e-06
3,4,18,17,-7.234771e-06
3,4,19,18,-5.514736e-06
3,4,20,19,-4.667682e-06
3,4,21,20,-4.597171e-06
3,4,22,21,-7.249983e-06
3,4,23,22,-9.146926e-06
3,4,24,23,-1.071789e-05
3,4,25,24,-1.248305e-05
