10000.0Hz wait=60periods tc=7[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.342021e-04,1.604774e+02,3.645446e-04,1.000000e+04,0,3,1,2
-1.084293e-03,1.749269e+02,3.723673e-04,1.000000e+04,1,4,2,3
-9.154686e-04,1.716485e+02,3.726397e-04,1.000000e+04,2,5,3,4
-5.494910e-04,1.704945e+02,4.047575e-04,1.000000e+04,3,6,4,5
-1.895954e-03,1.782739e+02,3.844137e-04,1.000000e+04,4,7,5,6
-1.364897e-03,1.704164e+02,4.188403e-04,1.000000e+04,5,8,6,7
-4.488553e-04,1.518141e+02,4.635346e-04,1.000000e+04,6,9,7,8
-5.773833e-04,1.726965e+02,5.051829e-04,1.000000e+04,7,10,8,9
-2.114695e-03,1.749370e+02,5.356426e-04,1.000000e+04,8,11,9,10
-2.703232e-04,1.738801e+02,5.658676e-04,1.000000e+04,9,12,10,11
-5.543386e-04,1.748574e+02,5.717441e-04,1.000000e+04,10,13,11,12
-4.375287e-04,1.590078e+02,5.785801e-04,1.000000e+04,11,14,12,13
-9.223729e-05,1.711928e+02,5.831773e-04,1.000000e+04,12,15,13,14
-1.942480e-04,1.704041e+02,5.819977e-04,1.000000e+04,13,16,14,15
-6.915771e-04,1.782462e+02,5.933446e-04,1.000000e+04,14,17,15,16
-1.142106e-03,-1.781696e+02,6.007380e-04,1.000000e+04,15,18,16,17
-9.080849e-04,1.755579e+02,6.033250e-04,1.000000e+04,16,19,17,18
-1.036308e-03,1.729673e+02,6.044924e-04,1.000000e+04,17,20,18,19
-1.028145e-03,1.757346e+02,5.931456e-04,1.000000e+04,18,21,19,20
-1.285532e-04,1.339673e+02,5.873780e-04,1.000000e+04,19,22,20,21
-1.037685e-03,-1.798687e+02,5.710738e-04,1.000000e+04,20,23,21,22
-1.066909e-03,1.774437e+02,5.385236e-04,1.000000e+04,21,24,22,23
-3.181558e-04,1.695050e+02,5.010130e-04,1.000000e+04,22,25,23,24
-7.755784e-05,1.697776e+02,4.582219e-04,1.000000e+04,23,26,24,25
-1.172305e-03,-1.770394e+02,3.923670e-04,1.000000e+04,24,27,25,26
-1.325291e-04,1.666757e+02,3.498429e-04,1.000000e+04,25,28,26,27
-8.763641e-04,1.774666e+02,2.837392e-04,1.000000e+04,26,29,27,28
-8.593865e-04,1.693954e+02,2.847353e-04,1.000000e+04,27,30,28,29
-1.199164e-03,-1.796569e+02,2.738133e-04,1.000000e+04,28,31,29,30
-2.238003e-04,1.707094e+02,2.745890e-04,1.000000e+04,29,0,30,31
-1.030316e-03,1.761939e+02,2.777947e-04,1.000000e+04,30,1,31,0
-2.462225e-04,-1.541456e+02,2.773564e-04,1.000000e+04,31,2,0,1
