300.0Hz wait=60periods tc=10[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-8.739089e-04,-1.788497e+02,4.364609e-04,3.000000e+02,0,3,1,2
-7.341485e-04,-1.791514e+02,4.351619e-04,3.000000e+02,1,4,2,3
-1.304019e-03,-1.797545e+02,4.348137e-04,3.000000e+02,2,5,3,4
-1.410036e-03,1.787155e+02,4.361256e-04,3.000000e+02,3,6,4,5
-1.598814e-03,1.785018e+02,4.361256e-04,3.000000e+02,4,7,5,6
-1.877096e-03,1.756132e+02,4.370362e-04,3.000000e+02,5,8,6,7
-1.835208e-03,1.785030e+02,4.408181e-04,3.000000e+02,6,9,7,8
-1.752153e-03,1.789925e+02,4.415810e-04,3.000000e+02,7,10,8,9
-1.802530e-03,1.793119e+02,4.415810e-04,3.000000e+02,8,11,9,10
-1.505135e-03,1.790928e+02,4.414314e-04,3.000000e+02,9,12,10,11
-1.587120e-03,1.792199e+02,4.413299e-04,3.000000e+02,10,13,11,12
-9.410299e-04,1.746308e+02,4.411132e-04,3.000000e+02,11,14,12,13
-8.274511e-04,1.772320e+02,4.411132e-04,3.000000e+02,12,15,13,14
-8.258437e-04,1.778901e+02,4.415633e-04,3.000000e+02,13,16,14,15
-8.209821e-04,-1.796072e+02,4.410834e-04,3.000000e+02,14,17,15,16
-7.714754e-04,1.799055e+02,4.406685e-04,3.000000e+02,15,18,16,17
-7.659363e-04,1.787321e+02,4.406685e-04,3.000000e+02,16,19,17,18
-6.878591e-04,1.782804e+02,4.401654e-04,3.000000e+02,17,20,18,19
-7.067777e-04,1.795367e+02,4.400342e-04,3.000000e+02,18,21,19,20
-8.244785e-04,1.650558e+02,4.391389e-04,3.000000e+02,19,22,20,21
-7.501398e-04,1.742748e+02,4.391389e-04,3.000000e+02,20,23,21,22
-7.536020e-04,1.781298e+02,4.390367e-04,3.000000e+02,21,24,22,23
-7.603925e-04,1.782619e+02,4.388333e-04,3.000000e+02,22,25,23,24
-7.833688e-04,-1.781520e+02,4.388333e-04,3.000000e+02,23,26,24,25
-7.617691e-04,1.787059e+02,4.383707e-04,3.000000e+02,24,27,25,26
-6.629939e-04,1.787714e+02,4.378801e-04,3.000000e+02,25,28,26,27
-6.956512e-04,1.682994e+02,4.382120e-04,3.000000e+02,26,29,27,28
-6.856695e-04,1.778374e+02,4.382120e-04,3.000000e+02,27,30,28,29
-7.123458e-04,1.781408e+02,4.387204e-04,3.000000e+02,28,31,29,30
-7.295644e-04,1.795338e+02,4.392725e-04,3.000000e+02,29,0,30,31
-7.767673e-04,1.787146e+02,4.399513e-04,3.000000e+02,30,1,31,0
-7.873553e-04,-1.688777e+02,4.399513e-04,3.000000e+02,31,2,0,1
