300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.550792e-06,1.324963e+02,4.805152e-04,3.000000e+05,0,3,1,2
1.872884e-06,8.142869e+01,4.642734e-04,3.000000e+05,1,4,2,3
-9.597377e-07,1.155376e+02,4.565683e-04,3.000000e+05,2,5,3,4
-7.305759e-07,1.076276e+02,4.573418e-04,3.000000e+05,3,6,4,5
-1.121227e-06,1.174892e+02,4.399873e-04,3.000000e+05,4,7,5,6
3.524202e-07,8.233208e+01,4.310377e-04,3.000000e+05,5,8,6,7
-8.365258e-07,1.111183e+02,4.257975e-04,3.000000e+05,6,9,7,8
-5.583800e-07,1.056037e+02,4.097429e-04,3.000000e+05,7,10,8,9
-5.117187e-07,1.024348e+02,3.935978e-04,3.000000e+05,8,11,9,10
-6.430584e-06,1.477507e+02,3.717739e-04,3.000000e+05,9,12,10,11
-9.088110e-07,1.199862e+02,3.659644e-04,3.000000e+05,10,13,11,12
-1.017348e-06,1.264207e+02,3.707801e-04,3.000000e+05,11,14,12,13
-1.051879e-06,1.241030e+02,3.775822e-04,3.000000e+05,12,15,13,14
-1.024132e-07,9.287776e+01,3.895544e-04,3.000000e+05,13,16,14,15
-1.340206e-06,1.341973e+02,4.009301e-04,3.000000e+05,14,17,15,16
-9.910709e-07,1.125087e+02,4.006205e-04,3.000000e+05,15,18,16,17
-9.099028e-07,1.119412e+02,3.937885e-04,3.000000e+05,16,19,17,18
-3.040120e-06,-1.350229e+02,3.868202e-04,3.000000e+05,17,20,18,19
-1.398983e-06,1.351612e+02,3.875298e-04,3.000000e+05,18,21,19,20
-1.522458e-06,1.422045e+02,3.810848e-04,3.000000e+05,19,22,20,21
-1.740770e-06,1.379741e+02,3.770913e-04,3.000000e+05,20,23,21,22
-1.977486e-06,1.430188e+02,3.719493e-04,3.000000e+05,21,24,22,23
-1.803975e-06,1.369626e+02,3.688652e-04,3.000000e+05,22,25,23,24
-1.971825e-06,1.435254e+02,3.674389e-04,3.000000e+05,23,26,24,25
-1.689359e-06,1.414535e+02,3.503596e-04,3.000000e+05,24,27,25,26
-1.664017e-06,1.371063e+02,3.275083e-04,3.000000e+05,25,28,26,27
-7.370319e-07,1.048514e+02,3.192454e-04,3.000000e+05,26,29,27,28
-5.599604e-07,1.029460e+02,3.145476e-04,3.000000e+05,27,30,28,29
-2.837828e-07,9.792977e+01,3.182008e-04,3.000000e+05,28,31,29,30
-1.966976e-06,1.432684e+02,3.234975e-04,3.000000e+05,29,0,30,31
-1.871522e-06,1.339749e+02,3.281730e-04,3.000000e+05,30,1,31,0
-1.629211e-06,1.309205e+02,3.303137e-04,3.000000e+05,31,2,0,1
