300000.0Hz wait=60periods tc=4[x,theta, y,fint,sin+,sin-,v+,v-]
-6.392204e-07,1.042727e+02,2.512766e-06,3.000000e+05,0,1,3,2
-8.665248e-07,1.161494e+02,1.764943e-06,3.000000e+05,7,8,10,9
