30000.0Hz wait=60periods tc=6[x,theta, xnoise,fint,sin+,sin-,v+,v-]
1.786723e-05,-3.641924e+01,2.596573e-04,3.000000e+04,0,3,1,2
-5.021726e-06,1.077666e+02,2.834820e-04,3.000000e+04,1,4,2,3
-9.765945e-06,1.318850e+02,3.430625e-04,3.000000e+04,2,5,3,4
-5.783186e-05,1.431507e+02,4.573895e-04,3.000000e+04,3,6,4,5
-6.972109e-06,1.097117e+02,5.030148e-04,3.000000e+04,4,7,5,6
-2.681148e-05,1.256528e+02,5.824440e-04,3.000000e+04,5,8,6,7
-1.077670e-05,1.211368e+02,6.563544e-04,3.000000e+04,6,9,7,8
-1.134682e-05,1.139713e+02,7.052047e-04,3.000000e+04,7,10,8,9
-5.805983e-06,1.052827e+02,7.435835e-04,3.000000e+04,8,11,9,10
-3.681868e-04,1.665289e+02,7.825654e-04,3.000000e+04,9,12,10,11
-3.078666e-06,1.011608e+02,8.018549e-04,3.000000e+04,10,13,11,12
-9.650196e-06,1.096406e+02,8.201271e-04,3.000000e+04,11,14,12,13
-8.968899e-06,1.340937e+02,8.343538e-04,3.000000e+04,12,15,13,14
-8.858085e-06,1.248303e+02,8.485400e-04,3.000000e+04,13,16,14,15
-5.736808e-06,1.197411e+02,8.554053e-04,3.000000e+04,14,17,15,16
-4.291571e-06,1.172981e+02,8.591718e-04,3.000000e+04,15,18,16,17
-9.594495e-06,1.331875e+02,8.464592e-04,3.000000e+04,16,19,17,18
-8.633340e-06,1.176488e+02,8.268305e-04,3.000000e+04,17,20,18,19
-1.968885e-05,1.232132e+02,8.192366e-04,3.000000e+04,18,21,19,20
-3.445156e-06,1.014987e+02,7.844225e-04,3.000000e+04,19,22,20,21
-1.967799e-05,1.440490e+02,7.465151e-04,3.000000e+04,20,23,21,22
-6.231895e-06,1.042829e+02,7.080518e-04,3.000000e+04,21,24,22,23
-4.998378e-06,1.373859e+02,6.600391e-04,3.000000e+04,22,25,23,24
-1.702722e-05,1.345263e+02,5.948571e-04,3.000000e+04,23,26,24,25
-6.653147e-06,1.156715e+02,5.443511e-04,3.000000e+04,24,27,25,26
-8.235786e-06,1.422031e+02,4.954112e-04,3.000000e+04,25,28,26,27
-1.150958e-05,1.206563e+02,4.973125e-04,3.000000e+04,26,29,27,28
-3.540944e-06,1.103764e+02,4.944561e-04,3.000000e+04,27,30,28,29
-1.748687e-05,1.313104e+02,4.920186e-04,3.000000e+04,28,31,29,30
-7.499710e-06,1.576146e+02,4.914489e-04,3.000000e+04,29,0,30,31
-8.714720e-06,1.329862e+02,4.920810e-04,3.000000e+04,30,1,31,0
-7.632135e-06,1.347857e+02,4.902532e-04,3.000000e+04,31,2,0,1
