3000.0Hz wait=60periods tc=8[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-7.339254e-04,1.789349e+02,3.844752e-04,3.000000e+03,0,3,1,2
-8.316096e-04,1.759687e+02,3.846438e-04,3.000000e+03,1,4,2,3
-1.358425e-03,1.750740e+02,3.857108e-04,3.000000e+03,2,5,3,4
-1.304693e-03,-1.781267e+02,3.938480e-04,3.000000e+03,3,6,4,5
-1.714236e-03,-1.791698e+02,3.969580e-04,3.000000e+03,4,7,5,6
-1.536901e-03,1.762147e+02,4.057433e-04,3.000000e+03,5,8,6,7
-1.740080e-03,1.783855e+02,3.924366e-04,3.000000e+03,6,9,7,8
-1.549713e-03,1.784853e+02,3.924101e-04,3.000000e+03,7,10,8,9
-1.458669e-03,1.719131e+02,3.943416e-04,3.000000e+03,8,11,9,10
-1.419577e-03,-1.796778e+02,4.088198e-04,3.000000e+03,9,12,10,11
-1.424870e-03,1.765613e+02,4.105933e-04,3.000000e+03,10,13,11,12
-9.841997e-04,1.628818e+02,4.155484e-04,3.000000e+03,11,14,12,13
-7.779622e-04,1.779731e+02,4.174623e-04,3.000000e+03,12,15,13,14
-8.330610e-04,1.786132e+02,4.175452e-04,3.000000e+03,13,16,14,15
-8.070065e-04,-1.766111e+02,4.165017e-04,3.000000e+03,14,17,15,16
-6.825843e-04,-1.765889e+02,4.156365e-04,3.000000e+03,15,18,16,17
-7.008766e-04,1.773923e+02,4.168294e-04,3.000000e+03,16,19,17,18
-7.021828e-04,-1.797205e+02,4.185857e-04,3.000000e+03,17,20,18,19
-7.321099e-04,1.753565e+02,4.196953e-04,3.000000e+03,18,21,19,20
-6.558683e-04,1.724075e+02,4.195692e-04,3.000000e+03,19,22,20,21
-6.104407e-04,-1.759536e+02,4.175040e-04,3.000000e+03,20,23,21,22
-7.003925e-04,-1.792742e+02,4.086121e-04,3.000000e+03,21,24,22,23
-7.079678e-04,1.782926e+02,3.883539e-04,3.000000e+03,22,25,23,24
-8.322102e-04,-1.714628e+02,3.855636e-04,3.000000e+03,23,26,24,25
-7.528657e-04,1.739471e+02,3.754916e-04,3.000000e+03,24,27,25,26
-7.941067e-04,-1.776235e+02,3.762215e-04,3.000000e+03,25,28,26,27
-7.260565e-04,1.759477e+02,3.752102e-04,3.000000e+03,26,29,27,28
-6.277692e-04,1.787645e+02,3.754325e-04,3.000000e+03,27,30,28,29
-7.236284e-04,-1.798995e+02,3.740678e-04,3.000000e+03,28,31,29,30
-7.650888e-04,1.783179e+02,3.730827e-04,3.000000e+03,29,0,30,31
-7.652377e-04,-1.788411e+02,3.723636e-04,3.000000e+03,30,1,31,0
-8.223169e-04,1.717278e+02,3.709006e-04,3.000000e+03,31,2,0,1
