300000.0Hz wait=60periods tc=4[x,theta, y,fint,sin+,sin-,v+,v-]
-8.130217e-07,1.090338e+02,2.356662e-06,3.000000e+05,0,1,3,2
-9.733948e-07,1.161582e+02,1.981844e-06,3.000000e+05,7,8,10,9
